'sample #','ECG '
0,-132
1,-159
2,-180
3,-194
4,-205
5,-213
6,-219
7,-220
8,-216
9,-207
10,-197
11,-189
12,-181
13,-173
14,-166
15,-160
16,-156
17,-152
18,-151
19,-149
20,-147
21,-145
22,-144
23,-143
24,-141
25,-139
26,-137
27,-136
28,-134
29,-132
30,-130
31,-128
32,-126
33,-124
34,-120
35,-112
36,-95
37,-81
38,-72
39,-67
40,-63
41,-60
42,-56
43,-51
44,-46
45,-41
46,-36
47,-30
48,-22
49,-12
50,0
51,13
52,24
53,35
54,44
55,53
56,60
57,65
58,69
59,72
60,77
61,81
62,85
63,88
64,88
65,85
66,82
67,80
68,77
69,74
70,69
71,64
72,61
73,63
74,69
75,75
76,80
77,84
78,89
79,93
80,97
81,99
82,98
83,95
84,90
85,84
86,77
87,68
88,53
89,38
90,21
91,-3
92,-35
93,-57
94,-73
95,-92
96,-112
97,-130
98,-140
99,-145
100,-149
101,-152
102,-154
103,-155
104,-153
105,-147
106,-139
107,-132
108,-127
109,-123
110,-119
111,-115
112,-111
113,-108
114,-105
115,-101
116,-98
117,-94
118,-91
119,-89
120,-86
121,-83
122,-79
123,-76
124,-73
125,-69
126,-65
127,-60
128,-55
129,-50
130,-45
131,-40
132,-35
133,-30
134,-27
135,-24
136,-22
137,-20
138,-17
139,-15
140,-14
141,-13
142,-12
143,-10
144,-8
145,-5
146,-3
147,-1
148,0
149,1
150,1
151,1
152,2
153,3
154,5
155,7
156,10
157,13
158,17
159,23
160,37
161,49
162,61
163,68
164,74
165,78
166,83
167,89
168,96
169,104
170,111
171,120
172,132
173,143
174,154
175,163
176,168
177,171
178,174
179,176
180,179
181,183
182,186
183,189
184,191
185,193
186,195
187,197
188,198
189,198
190,199
191,201
192,204
193,207
194,210
195,210
196,206
197,199
198,193
199,190
200,186
201,181
202,175
203,170
204,165
205,161
206,158
207,154
208,150
209,147
210,145
211,143
212,143
213,143
214,142
215,141
216,139
217,136
218,134
219,132
220,130
221,128
222,126
223,125
224,124
225,123
226,122
227,120
228,120
229,119
230,117
231,115
232,111
233,104
234,98
235,98
236,106
237,116
238,124
239,132
240,139
241,145
242,150
243,156
244,162
245,169
246,173
247,170
248,165
249,160
250,154
251,155
252,167
253,174
254,178
255,182
256,186
257,187
258,185
259,178
260,170
261,162
262,155
263,148
264,140
265,133
266,127
267,122
268,116
269,110
270,105
271,99
272,93
273,87
274,82
275,76
276,71
277,66
278,62
279,56
280,48
281,37
282,23
283,4
284,-25
285,-61
286,-83
287,-96
288,-107
289,-115
290,-120
291,-122
292,-125
293,-126
294,-128
295,-131
296,-133
297,-135
298,-138
299,-141
300,-145
301,-147
302,-150
303,-153
304,-155
305,-159
306,-164
307,-169
308,-173
309,-174
310,-171
311,-166
312,-161
313,-154
314,-146
315,-135
316,-118
317,-103
318,-91
319,-81
320,-73
321,-66
322,-61
323,-61
324,-66
325,-74
326,-84
327,-92
328,-101
329,-109
330,-113
331,-115
332,-117
333,-117
334,-118
335,-118
336,-117
337,-117
338,-117
339,-118
340,-120
341,-121
342,-123
343,-124
344,-125
345,-126
346,-127
347,-128
348,-129
349,-130
350,-131
351,-133
352,-135
353,-139
354,-142
355,-145
356,-148
357,-151
358,-154
359,-158
360,-161
361,-164
362,-166
363,-169
364,-173
365,-177
366,-181
367,-185
368,-186
369,-184
370,-181
371,-178
372,-174
373,-170
374,-166
375,-162
376,-158
377,-155
378,-153
379,-152
380,-152
381,-152
382,-152
383,-153
384,-155
385,-157
386,-159
387,-160
388,-161
389,-162
390,-164
391,-165
392,-164
393,-160
394,-155
395,-149
396,-142
397,-136
398,-131
399,-126
400,-120
401,-115
402,-109
403,-104
404,-100
405,-97
406,-93
407,-89
408,-83
409,-74
410,-57
411,-34
412,-4
413,33
414,97
415,178
416,269
417,373
418,486
419,598
420,693
421,748
422,751
423,715
424,624
425,498
426,353
427,206
428,65
429,-67
430,-178
431,-236
432,-258
433,-258
434,-239
435,-188
436,-136
437,-92
438,-62
439,-46
440,-40
441,-35
442,-31
443,-26
444,-23
445,-21
446,-19
447,-16
448,-14
449,-11
450,-9
451,-7
452,-5
453,-4
454,-4
455,-4
456,-4
457,-4
458,-3
459,-2
460,0
461,1
462,2
463,5
464,7
465,11
466,14
467,17
468,19
469,22
470,26
471,35
472,53
473,64
474,72
475,79
476,85
477,88
478,88
479,88
480,86
481,85
482,83
483,82
484,84
485,93
486,104
487,112
488,119
489,126
490,133
491,138
492,141
493,143
494,143
495,144
496,145
497,146
498,147
499,148
500,149
501,149
502,150
503,150
504,149
505,149
506,150
