'sample #','ECG '
0,58
1,61
2,63
3,65
4,67
5,69
6,70
7,71
8,72
9,73
10,73
11,72
12,70
13,68
14,65
15,60
16,56
17,51
18,46
19,33
20,7
21,-1
22,-5
23,-9
24,-11
25,-14
26,-16
27,-19
28,-23
29,-27
30,-30
31,-32
32,-34
33,-37
34,-38
35,-41
36,-43
37,-46
38,-48
39,-49
40,-49
41,-48
42,-48
43,-48
44,-47
45,-46
46,-44
47,-42
48,-40
49,-39
50,-37
51,-35
52,-33
53,-30
54,-28
55,-26
56,-25
57,-23
58,-22
59,-19
60,-16
61,-11
62,-6
63,-4
64,-7
65,-12
66,-17
67,-20
68,-22
69,-25
70,-28
71,-30
72,-32
73,-33
74,-34
75,-34
76,-34
77,-34
78,-33
79,-30
80,-28
81,-26
82,-23
83,-21
84,-18
85,-15
86,-12
87,-9
88,-6
89,-5
90,-4
91,-3
92,-3
93,-4
94,-5
95,-6
96,-8
97,-11
98,-13
99,-14
100,-16
101,-18
102,-20
103,-23
104,-24
105,-24
106,-24
107,-22
108,-19
109,-17
110,-15
111,-14
112,-12
113,-10
114,-7
115,-6
116,-5
117,-5
118,-5
119,-6
120,-8
121,-9
122,-11
123,-13
124,-15
125,-17
126,-19
127,-22
128,-23
129,-23
130,-22
131,-19
132,-14
133,-9
134,-2
135,6
136,16
137,24
138,31
139,37
140,42
141,44
142,42
143,37
144,31
145,26
146,22
147,18
148,14
149,10
150,7
151,3
152,2
153,0
154,0
155,-2
156,-4
157,-6
158,-7
159,-8
160,-9
161,-10
162,-10
163,-11
164,-12
165,-13
166,-13
167,-13
168,-13
169,-12
170,-12
171,-12
172,-12
173,-12
174,-11
175,-11
176,-10
177,-8
178,-7
179,-4
180,-2
181,0
182,7
183,15
184,25
185,57
186,121
187,213
188,312
189,406
190,450
191,448
192,392
193,292
194,174
195,65
196,-16
197,-52
198,-55
199,-34
200,2
201,29
202,38
203,37
204,30
205,23
206,16
207,11
208,10
209,13
210,18
211,22
212,28
213,30
214,25
215,15
216,10
217,8
218,6
219,3
220,1
221,0
222,-2
223,-3
224,-4
225,-4
226,-4
227,-3
228,-2
229,0
230,3
231,5
232,8
233,10
234,11
235,13
236,14
237,15
238,16
239,16
240,17
241,18
242,20
243,21
244,23
245,24
246,25
247,27
248,29
249,31
250,34
251,38
252,45
253,58
254,67
255,74
256,79
257,84
258,88
259,93
260,97
261,101
262,104
263,106
264,106
265,102
266,96
267,88
268,72
269,48
270,38
271,34
272,30
273,28
274,25
275,22
276,19
277,16
278,13
279,10
280,5
281,-4
282,-22
283,-32
284,-38
285,-42
286,-45
287,-48
288,-50
289,-53
290,-55
291,-56
292,-58
293,-58
294,-58
295,-59
296,-59
297,-59
298,-58
299,-56
300,-54
301,-51
302,-48
303,-46
304,-43
305,-40
306,-35
307,-31
308,-26
309,-21
310,-16
311,-10
312,-4
313,1
314,6
