'sample #','ECG '
0,-527
1,-629
2,-733
3,-836
4,-924
5,-967
6,-959
7,-933
8,-923
9,-916
10,-911
11,-908
12,-907
13,-908
14,-911
15,-915
16,-919
17,-923
18,-928
19,-935
20,-942
21,-946
22,-944
23,-935
24,-924
25,-912
26,-897
27,-885
28,-874
29,-864
30,-855
31,-846
32,-835
33,-822
34,-798
35,-765
36,-733
37,-701
38,-666
39,-635
40,-584
41,-538
42,-493
43,-449
44,-404
45,-353
46,-292
47,-216
48,-127
49,-40
50,29
51,61
52,73
53,70
54,47
55,13
56,-22
57,-70
58,-118
59,-159
60,-172
61,-157
62,-134
63,-103
64,-63
65,-31
66,-16
67,-6
68,0
69,2
70,-1
71,-10
72,-21
73,-33
74,-49
75,-65
76,-79
77,-103
78,-138
79,-175
80,-211
81,-235
82,-250
83,-259
84,-266
85,-271
86,-274
87,-277
88,-279
89,-281
90,-283
91,-284
92,-285
93,-286
94,-286
95,-287
96,-287
97,-286
98,-285
99,-284
100,-283
101,-281
102,-279
103,-277
104,-274
105,-270
106,-265
107,-259
108,-245
109,-214
110,-191
111,-175
112,-162
113,-144
114,-120
115,-95
116,-68
117,-50
118,-41
119,-35
120,-27
121,-19
122,-10
123,7
124,25
125,30
126,32
127,34
128,36
129,36
130,35
131,33
132,30
133,27
134,22
135,16
136,9
137,6
138,7
139,9
140,12
141,14
142,17
143,18
144,13
145,5
146,2
147,0
148,-3
149,-7
150,-10
151,-12
152,-14
153,-14
154,-14
155,-11
156,-8
157,-3
158,2
159,8
160,17
161,37
162,56
163,82
164,113
165,142
166,171
167,201
168,233
169,259
170,276
171,281
172,282
173,284
174,285
175,286
176,281
177,271
178,259
179,244
180,226
181,202
182,172
183,153
184,143
185,134
186,125
187,117
188,110
189,103
190,96
191,89
192,82
193,75
194,69
195,64
196,59
197,54
198,49
199,48
200,50
201,56
202,63
203,71
204,77
205,85
206,93
207,102
208,109
209,116
210,123
211,133
212,149
213,163
214,181
215,207
216,232
217,249
218,258
219,266
220,272
221,280
222,290
223,322
224,383
225,468
226,574
227,698
228,828
229,947
230,1046
231,1126
232,1180
233,1198
234,1190
235,1165
236,1108
237,1042
238,975
239,917
240,888
241,863
242,836
243,806
244,773
245,737
246,706
247,659
248,615
249,567
250,516
251,458
252,395
253,333
254,272
255,210
256,153
257,116
258,103
259,103
260,118
261,161
262,213
263,270
264,328
265,385
266,433
267,449
268,441
269,418
270,358
271,283
272,208
273,137
274,68
275,1
276,-62
277,-115
278,-142
279,-166
280,-191
281,-218
282,-249
283,-284
284,-314
285,-336
286,-353
287,-371
288,-413
289,-463
290,-492
291,-516
292,-534
293,-548
294,-566
295,-585
296,-595
297,-600
298,-604
299,-606
300,-606
301,-602
302,-596
303,-588
304,-574
305,-547
306,-522
307,-503
308,-489
309,-472
310,-452
311,-419
312,-376
313,-330
314,-288
315,-245
316,-192
317,-121
318,-32
319,66
320,161
321,236
322,268
323,278
324,264
325,222
326,161
327,88
328,11
329,-61
330,-123
331,-165
332,-180
333,-180
334,-164
335,-145
336,-127
337,-124
338,-123
339,-122
340,-121
341,-120
342,-122
343,-127
344,-135
345,-145
346,-160
347,-176
348,-198
349,-227
350,-245
351,-253
352,-260
353,-269
354,-279
355,-289
356,-301
357,-316
358,-328
359,-338
360,-348
361,-359
362,-365
363,-369
364,-372
365,-376
366,-377
367,-370
368,-354
369,-335
370,-313
371,-299
372,-265
373,-221
374,-164
375,-101
376,-40
377,14
378,61
379,91
380,125
381,161
382,199
383,235
384,270
385,301
386,317
387,327
388,334
389,337
390,333
391,325
392,312
393,291
394,257
395,224
396,194
397,168
398,139
399,109
400,80
401,51
402,22
403,-6
404,-38
405,-67
406,-88
407,-102
408,-120
409,-146
410,-175
411,-202
412,-229
413,-255
414,-280
415,-307
416,-330
417,-347
418,-360
419,-366
420,-371
421,-375
422,-379
423,-382
424,-383
425,-384
426,-384
427,-384
428,-382
429,-379
430,-376
431,-372
432,-368
433,-363
434,-356
435,-342
436,-331
437,-323
438,-298
439,-244
440,-160
441,-62
442,40
443,141
444,233
