'sample #','ECG '
0,252
1,282
2,315
3,354
4,383
5,401
6,413
7,421
8,427
9,434
10,443
11,450
12,451
13,448
14,442
15,424
16,371
17,358
18,356
19,354
20,363
21,376
22,386
23,370
24,348
25,332
26,341
27,353
28,362
29,348
30,332
31,320
32,314
33,317
34,323
35,332
36,341
37,326
38,303
39,288
40,302
41,326
42,352
43,376
44,401
45,413
46,419
47,423
48,426
49,430
50,434
51,439
52,442
53,445
54,450
55,457
56,475
57,496
58,510
59,501
60,463
61,427
62,400
63,384
64,373
65,366
66,350
67,334
68,328
69,325
70,323
71,320
72,317
73,313
74,306
75,298
76,285
77,265
78,252
79,245
80,241
81,238
82,235
83,229
84,223
85,219
86,213
87,204
88,171
89,113
90,63
91,31
92,-6
93,-27
94,-34
95,-38
96,-22
97,-8
98,-1
99,4
100,9
101,14
102,19
103,24
104,29
105,35
106,40
107,43
108,41
109,33
110,22
111,8
112,-12
113,-34
114,-51
115,-63
116,-73
117,-82
118,-91
119,-102
120,-124
121,-156
122,-176
123,-190
124,-196
125,-193
126,-188
127,-184
128,-179
129,-182
130,-198
131,-220
132,-254
133,-294
134,-330
135,-356
136,-376
137,-378
138,-362
139,-338
140,-306
141,-279
142,-262
143,-257
144,-254
145,-253
146,-250
147,-243
148,-231
149,-197
150,-145
151,-82
152,-26
153,21
154,70
155,127
156,192
157,238
158,254
159,234
160,172
161,95
162,6
163,-79
164,-159
165,-252
166,-362
167,-474
168,-579
169,-661
170,-694
171,-710
172,-721
173,-725
174,-717
175,-699
176,-670
177,-630
178,-587
179,-567
180,-560
181,-568
182,-623
183,-684
184,-714
185,-732
186,-742
187,-752
188,-761
189,-768
190,-779
191,-792
192,-778
193,-762
194,-749
195,-748
196,-752
197,-754
198,-756
199,-760
200,-767
201,-778
202,-788
203,-800
204,-807
205,-803
206,-792
207,-757
208,-708
209,-637
210,-542
211,-427
212,-314
213,-232
214,-184
215,-154
216,-104
217,-51
218,-8
219,6
220,4
221,-14
222,-42
223,-67
224,-76
225,-81
226,-85
227,-90
228,-96
229,-103
230,-114
231,-126
232,-103
233,-77
234,-54
235,-54
236,-78
237,-98
238,-116
239,-130
240,-138
241,-146
242,-178
243,-238
244,-308
245,-375
246,-422
247,-438
248,-445
249,-450
250,-455
251,-461
252,-458
253,-438
254,-383
255,-317
256,-263
257,-246
258,-232
259,-219
260,-207
261,-194
262,-188
263,-195
264,-208
265,-223
266,-238
267,-240
268,-233
269,-227
270,-220
271,-222
272,-237
273,-253
274,-269
275,-269
276,-249
277,-220
278,-189
279,-145
280,-94
281,-44
282,-16
283,33
284,76
285,92
286,92
287,76
288,32
289,-26
290,-92
291,-148
292,-165
293,-176
294,-180
295,-180
296,-177
297,-171
298,-162
299,-145
300,-117
301,-98
302,-82
303,-60
304,-39
305,-23
306,-11
307,-1
308,8
309,18
310,23
311,18
312,3
313,-38
314,-127
315,-186
316,-205
317,-190
318,-145
319,-101
320,-76
321,-52
322,-28
323,12
324,61
325,76
326,67
327,39
328,-30
329,-59
330,-68
331,-46
332,-24
333,-9
334,2
335,10
336,16
337,44
338,112
339,189
340,245
341,267
342,293
343,337
344,403
345,483
346,563
347,599
348,610
349,615
350,618
351,617
352,614
353,610
354,603
355,590
356,561
357,521
358,488
359,474
360,467
361,462
362,458
363,456
364,454
365,454
366,455
367,456
368,457
369,459
370,463
371,468
372,452
373,435
374,423
375,414
376,408
377,403
378,394
379,385
380,398
381,436
382,502
