'sample #','ECG '
0,-34
1,-36
2,-38
3,-41
4,-44
5,-46
6,-49
7,-52
8,-55
9,-57
10,-59
11,-61
12,-62
13,-62
14,-62
15,-62
16,-61
17,-60
18,-59
19,-58
20,-57
21,-56
22,-55
23,-54
24,-53
25,-53
26,-52
27,-51
28,-50
29,-49
30,-48
31,-47
32,-46
33,-45
34,-44
35,-42
36,-40
37,-38
38,-36
39,-33
40,-27
41,-18
42,-11
43,-3
44,4
45,13
46,23
47,32
48,42
49,51
50,58
51,65
52,71
53,76
54,82
55,88
56,94
57,100
58,104
59,108
60,113
61,116
62,119
63,121
64,123
65,123
66,121
67,119
68,116
69,112
70,106
71,100
72,90
73,70
74,53
75,36
76,20
77,3
78,-12
79,-28
80,-47
81,-59
82,-68
83,-75
84,-83
85,-91
86,-99
87,-103
88,-107
89,-111
90,-114
91,-118
92,-121
93,-124
94,-126
95,-128
96,-130
97,-131
98,-132
99,-133
100,-134
101,-134
102,-135
103,-135
104,-136
105,-136
106,-136
107,-136
108,-136
109,-135
110,-135
111,-134
112,-133
113,-133
114,-131
115,-130
116,-129
117,-128
118,-126
119,-125
120,-123
121,-122
122,-121
123,-120
124,-119
125,-118
126,-117
127,-116
128,-115
129,-114
130,-114
131,-113
132,-112
133,-111
134,-110
135,-109
136,-108
137,-107
138,-106
139,-104
140,-103
141,-102
142,-100
143,-97
144,-94
145,-91
146,-88
147,-84
148,-80
149,-76
150,-71
151,-67
152,-62
153,-59
154,-56
155,-54
156,-52
157,-50
158,-48
159,-47
160,-45
161,-44
162,-43
163,-41
164,-40
165,-39
166,-38
167,-37
168,-36
169,-35
170,-34
171,-33
172,-32
173,-32
174,-31
175,-30
176,-29
177,-28
178,-27
179,-26
180,-25
181,-23
182,-21
183,-19
184,-15
185,-11
186,-7
187,-2
188,1
189,6
190,11
191,18
192,29
193,48
194,65
195,87
196,114
197,139
198,164
199,189
200,215
201,236
202,252
203,271
204,282
205,288
206,293
207,296
208,300
209,303
210,307
211,311
212,315
213,319
214,323
215,328
216,332
217,336
218,340
219,343
220,345
221,345
222,345
223,344
224,341
225,338
226,334
227,329
228,318
229,291
230,259
231,223
232,184
233,146
234,107
235,71
236,43
237,22
238,11
239,7
240,5
241,4
242,2
243,2
244,1
245,0
246,0
247,0
248,0
249,-1
250,-1
251,-1
252,-2
253,-2
254,-2
255,-1
256,0
257,1
258,3
259,5
260,8
261,11
262,14
263,17
264,20
265,23
266,26
267,28
268,32
269,37
270,45
271,52
272,58
273,61
274,61
275,58
276,53
277,47
278,38
279,26
280,4
281,-15
282,-35
283,-54
284,-69
285,-82
286,-94
287,-95
288,-85
289,-59
290,-7
291,64
292,153
293,254
294,360
295,466
296,561
297,635
298,669
299,680
300,660
301,603
302,518
303,419
304,317
305,218
306,129
307,55
308,-2
309,-23
310,-30
311,-34
312,-37
313,-37
314,-34
315,-27
316,-20
317,-15
318,-9
319,-3
320,0
321,3
322,3
323,0
324,-7
325,-16
326,-32
327,-58
328,-81
329,-106
330,-129
331,-146
332,-160
333,-166
334,-170
335,-172
336,-175
337,-176
338,-178
339,-179
340,-181
341,-182
342,-182
343,-183
344,-183
345,-182
346,-181
347,-180
348,-179
349,-178
350,-177
351,-175
352,-174
353,-173
354,-171
355,-170
356,-169
357,-167
358,-166
359,-164
360,-163
361,-161
362,-160
363,-159
364,-157
365,-155
366,-153
367,-151
368,-149
369,-146
370,-139
371,-130
372,-121
373,-113
374,-103
375,-93
376,-82
377,-71
378,-61
379,-51
380,-45
381,-41
382,-36
383,-32
384,-29
385,-27
386,-26
387,-25
388,-25
389,-26
390,-29
391,-32
392,-36
393,-41
394,-47
395,-53
396,-60
397,-70
398,-82
399,-92
400,-101
401,-110
402,-119
403,-127
404,-135
405,-142
406,-148
407,-153
408,-157
409,-160
410,-163
411,-165
412,-167
413,-169
414,-171
415,-173
416,-174
417,-175
418,-176
419,-176
420,-176
421,-176
422,-176
423,-175
424,-174
425,-172
426,-171
427,-169
428,-167
429,-164
430,-162
431,-159
432,-157
433,-154
434,-152
435,-149
436,-147
437,-144
438,-142
439,-140
440,-137
441,-135
442,-132
443,-129
444,-125
445,-122
446,-120
447,-117
448,-114
449,-111
450,-108
451,-105
452,-102
453,-100
454,-97
455,-96
456,-94
457,-92
458,-90
459,-89
460,-88
461,-87
462,-86
463,-85
464,-84
465,-83
466,-82
467,-82
468,-81
469,-80
470,-79
471,-78
472,-77
473,-76
474,-75
475,-74
476,-73
477,-72
478,-71
479,-70
480,-70
481,-69
482,-68
483,-66
484,-65
485,-63
486,-61
487,-59
488,-56
489,-51
490,-42
491,-32
492,-23
493,-13
494,0
495,15
496,31
497,37
498,40
499,42
500,44
501,45
502,47
503,49
504,51
505,53
506,56
507,59
508,62
509,64
510,66
511,68
512,71
513,73
514,76
515,80
516,84
517,88
518,93
519,98
520,102
521,106
522,110
523,114
524,117
525,121
526,124
527,126
528,129
529,131
530,133
531,135
532,136
533,138
534,139
535,139
536,140
537,141
538,141
539,143
540,144
541,145
542,145
543,146
544,146
545,147
546,148
547,150
548,152
549,156
550,166
551,195
552,228
553,264
554,303
555,342
556,379
557,415
558,445
559,465
560,474
561,480
562,485
563,488
564,482
565,468
566,445
567,417
568,375
569,331
570,283
571,234
572,186
573,138
574,105
575,74
576,51
577,29
578,21
579,17
580,13
581,10
582,7
583,4
584,2
585,0
586,-2
587,-3
588,-5
589,-6
590,-7
591,-7
592,-8
593,-8
594,-8
595,-8
596,-8
597,-8
598,-8
599,-8
600,-8
601,-8
602,-8
603,-7
604,-6
605,-4
606,-2
607,0
608,1
609,3
610,6
611,9
612,13
613,18
614,47
615,93
616,161
617,252
618,367
619,498
620,632
621,749
622,821
623,828
624,788
625,659
626,473
627,261
628,55
629,-114
630,-233
631,-285
632,-304
633,-304
634,-288
635,-265
636,-234
637,-199
638,-167
639,-135
640,-108
641,-95
642,-86
643,-81
644,-79
645,-82
646,-91
647,-101
648,-113
649,-128
650,-139
651,-147
652,-152
653,-157
654,-162
655,-165
656,-167
657,-168
658,-166
659,-162
660,-156
661,-148
662,-132
663,-105
664,-79
665,-52
666,-22
667,6
668,35
669,63
670,86
671,101
672,111
673,115
674,119
675,122
676,124
677,126
678,126
679,123
680,118
681,111
682,103
683,90
684,68
685,50
686,33
687,16
688,-4
689,-18
690,-29
691,-37
692,-41
693,-41
694,-41
695,-41
696,-41
697,-41
698,-41
699,-41
700,-40
701,-39
702,-35
703,-28
704,-20
705,-12
706,-7
707,-1
708,3
709,8
710,12
711,16
712,18
713,19
714,19
715,18
716,16
717,13
718,9
719,5
720,0
721,-5
722,-12
723,-23
724,-35
725,-46
726,-56
727,-67
728,-77
729,-87
730,-98
731,-108
732,-117
733,-125
734,-132
735,-139
736,-145
737,-150
738,-155
739,-158
740,-161
741,-164
742,-167
743,-170
744,-172
745,-174
746,-176
747,-177
748,-177
749,-180
750,-179
751,-176
752,-172
753,-167
754,-162
755,-155
756,-149
757,-142
758,-136
759,-130
760,-125
761,-120
762,-115
763,-110
764,-107
765,-104
766,-101
767,-99
768,-97
769,-96
770,-95
771,-94
772,-93
773,-93
774,-93
775,-93
776,-93
777,-93
778,-94
779,-94
780,-95
781,-95
782,-96
783,-96
784,-96
785,-95
786,-95
787,-94
788,-93
789,-90
790,-79
791,-65
792,-46
793,-20
794,6
795,37
796,70
797,103
798,136
799,165
800,190
801,216
802,236
803,252
804,270
805,287
806,301
807,315
808,330
809,339
810,347
811,355
812,361
813,365
814,367
815,366
816,362
817,356
818,349
819,341
820,332
821,322
822,309
823,296
824,286
825,277
826,270
827,265
828,259
829,255
830,250
831,246
832,240
833,231
834,215
835,199
836,177
837,149
838,121
839,93
840,63
841,34
842,7
843,-21
844,-46
845,-65
846,-84
847,-101
848,-116
849,-125
850,-132
851,-136
852,-139
853,-142
854,-143
855,-144
856,-143
857,-142
858,-140
859,-138
860,-135
861,-132
862,-129
863,-127
864,-124
865,-122
866,-119
867,-117
868,-115
869,-113
870,-111
871,-109
872,-108
873,-106
874,-104
875,-102
876,-99
877,-96
878,-91
879,-85
880,-77
881,-70
882,-62
883,-55
884,-48
885,-41
886,-35
887,-30
888,-26
889,-24
890,-24
891,-25
892,-28
893,-31
894,-35
895,-40
896,-45
897,-49
898,-53
899,-56
900,-59
901,-62
902,-68
903,-74
904,-82
905,-90
906,-98
907,-105
908,-110
909,-114
910,-118
911,-122
912,-126
913,-128
914,-130
915,-132
916,-132
917,-133
918,-133
919,-133
920,-132
921,-132
922,-131
923,-130
924,-130
925,-129
926,-128
927,-127
928,-126
929,-124
930,-122
931,-121
932,-119
933,-117
934,-114
935,-100
936,-62
937,2
938,89
939,201
940,334
941,477
942,616
943,729
944,781
945,778
946,705
947,549
948,341
949,118
950,-81
951,-234
952,-328
953,-352
954,-357
955,-345
956,-306
957,-269
958,-230
959,-191
960,-168
961,-156
962,-146
963,-137
964,-129
965,-123
966,-119
967,-116
968,-114
969,-111
970,-108
971,-106
972,-104
973,-102
974,-100
975,-98
976,-96
977,-94
978,-93
979,-91
980,-90
981,-88
982,-87
983,-85
984,-84
985,-81
986,-79
987,-76
988,-73
989,-69
990,-66
991,-62
992,-59
993,-55
994,-51
995,-45
996,-37
997,-24
998,-12
999,0
1000,11
1001,22
1002,35
1003,48
1004,58
1005,66
1006,72
1007,78
1008,83
1009,88
1010,93
1011,99
1012,106
1013,114
1014,122
1015,131
1016,143
1017,156
1018,171
1019,186
1020,195
1021,202
1022,207
1023,212
1024,216
1025,219
1026,221
1027,222
1028,221
1029,220
1030,219
1031,216
1032,213
1033,210
1034,207
1035,203
1036,199
1037,195
1038,191
1039,186
1040,180
1041,173
1042,159
1043,144
1044,131
1045,118
1046,105
1047,92
1048,80
1049,66
1050,54
1051,43
1052,33
1053,23
1054,15
1055,7
1056,0
1057,-5
1058,-9
1059,-11
1060,-14
1061,-16
1062,-18
1063,-20
1064,-21
1065,-22
1066,-22
1067,-22
1068,-22
1069,-21
1070,-20
1071,-19
1072,-18
1073,-17
1074,-16
1075,-14
1076,-13
1077,-11
1078,-10
1079,-9
1080,-8
1081,-8
1082,-8
1083,-9
1084,-10
1085,-11
1086,-12
1087,-12
1088,-13
1089,-13
1090,-13
1091,-12
1092,-11
1093,-10
1094,-9
1095,-7
1096,-6
1097,-4
1098,-3
1099,-1
1100,0
1101,0
1102,1
1103,2
1104,2
1105,3
1106,2
1107,2
1108,0
1109,-1
1110,-3
1111,-6
1112,-10
1113,-13
1114,-17
1115,-21
1116,-24
1117,-27
1118,-30
1119,-33
1120,-35
1121,-37
1122,-39
1123,-41
1124,-42
1125,-43
1126,-44
1127,-44
1128,-47
1129,-50
1130,-54
1131,-56
1132,-55
1133,-55
1134,-54
1135,-54
1136,-54
1137,-54
1138,-54
1139,-54
1140,-55
1141,-55
1142,-56
1143,-57
1144,-58
1145,-58
1146,-59
1147,-59
1148,-59
1149,-59
1150,-59
1151,-59
1152,-59
1153,-58
1154,-58
1155,-58
1156,-58
1157,-59
1158,-59
1159,-60
1160,-60
1161,-60
1162,-60
1163,-60
1164,-60
1165,-59
1166,-59
1167,-59
1168,-59
1169,-60
1170,-60
1171,-62
1172,-63
1173,-65
1174,-67
1175,-68
1176,-69
1177,-70
1178,-70
1179,-70
1180,-69
1181,-67
1182,-64
1183,-60
1184,-55
1185,-49
1186,-43
1187,-36
1188,-29
1189,-23
1190,-17
1191,-11
1192,-4
1193,0
1194,5
1195,9
1196,12
1197,15
1198,17
1199,19
1200,20
1201,20
1202,20
1203,19
1204,17
1205,15
1206,12
1207,8
1208,5
1209,0
1210,-4
1211,-10
1212,-16
1213,-22
1214,-28
1215,-34
1216,-39
1217,-45
1218,-50
1219,-54
1220,-58
1221,-61
1222,-64
1223,-66
1224,-68
1225,-70
1226,-71
1227,-71
1228,-71
1229,-71
1230,-70
1231,-69
1232,-68
1233,-66
1234,-64
1235,-62
1236,-59
1237,-56
1238,-52
1239,-49
1240,-45
1241,-41
1242,-21
1243,26
1244,103
1245,206
1246,336
1247,489
1248,651
1249,798
1250,892
1251,924
1252,895
1253,806
1254,639
1255,443
1256,255
1257,100
1258,-7
1259,-61
1260,-78
1261,-87
1262,-89
1263,-82
1264,-68
1265,-50
1266,-32
1267,-12
1268,4
1269,12
1270,18
1271,20
1272,20
1273,20
1274,20
1275,18
1276,17
1277,15
1278,13
1279,11
1280,9
1281,6
1282,4
1283,2
1284,0
1285,-1
1286,-2
1287,-3
1288,-4
1289,-4
1290,-3
1291,-2
1292,0
1293,2
1294,5
1295,7
1296,10
1297,13
1298,16
1299,18
1300,20
1301,22
1302,24
1303,25
1304,26
1305,27
1306,29
1307,30
1308,31
1309,32
1310,34
1311,35
1312,36
1313,37
1314,39
1315,40
1316,41
1317,42
1318,43
1319,44
1320,45
1321,50
1322,57
1323,65
1324,72
1325,79
1326,86
1327,94
1328,105
1329,119
1330,133
1331,146
1332,159
1333,167
1334,175
1335,182
1336,189
1337,194
1338,198
1339,199
1340,197
1341,194
1342,190
1343,184
1344,179
1345,173
1346,167
1347,160
1348,149
1349,137
1350,124
1351,109
1352,92
1353,75
1354,58
1355,40
1356,18
1357,4
1358,-6
1359,-14
1360,-19
1361,-22
1362,-23
1363,-25
1364,-26
1365,-27
1366,-28
1367,-27
1368,-27
1369,-26
1370,-25
1371,-23
1372,-19
1373,-13
1374,-6
1375,1
1376,7
1377,13
1378,18
1379,24
1380,29
1381,33
1382,35
1383,34
1384,30
1385,23
1386,15
1387,6
1388,-1
1389,-7
1390,-13
1391,-18
1392,-24
1393,-29
1394,-34
1395,-37
1396,-39
1397,-41
1398,-42
1399,-43
1400,-44
1401,-45
1402,-46
1403,-46
1404,-47
1405,-48
1406,-49
1407,-49
1408,-50
1409,-51
1410,-52
1411,-53
1412,-54
1413,-55
1414,-56
1415,-58
1416,-59
1417,-61
1418,-63
1419,-65
1420,-68
1421,-70
1422,-73
1423,-76
1424,-79
1425,-82
1426,-85
1427,-88
1428,-91
1429,-95
1430,-99
1431,-103
1432,-107
1433,-111
1434,-114
1435,-117
1436,-118
1437,-118
1438,-117
1439,-115
1440,-112
1441,-108
1442,-104
1443,-100
1444,-95
1445,-90
1446,-86
1447,-82
1448,-78
1449,-75
1450,-72
1451,-70
1452,-69
1453,-68
1454,-67
1455,-67
1456,-66
1457,-66
1458,-65
1459,-64
1460,-64
1461,-63
1462,-62
1463,-60
1464,-59
1465,-57
1466,-54
1467,-52
1468,-49
1469,-46
1470,-42
1471,-37
1472,-30
1473,-21
1474,-14
1475,-7
1476,0
1477,4
1478,7
1479,10
1480,13
1481,15
1482,17
1483,18
1484,20
1485,22
1486,24
1487,26
1488,27
1489,29
1490,30
1491,33
1492,37
1493,41
1494,48
1495,60
1496,73
1497,86
1498,98
1499,111
1500,122
1501,130
1502,136
1503,141
1504,145
1505,147
1506,148
1507,146
1508,141
1509,133
1510,122
1511,102
1512,74
1513,52
1514,28
1515,7
1516,-7
1517,-20
1518,-30
1519,-39
1520,-46
1521,-48
1522,-46
1523,-38
1524,-13
1525,28
1526,91
1527,177
1528,282
1529,404
1530,533
1531,655
1532,749
1533,777
1534,765
1535,671
1536,503
1537,296
1538,86
1539,-93
1540,-220
1541,-272
1542,-291
1543,-298
1544,-293
1545,-281
1546,-264
1547,-240
1548,-217
1549,-191
1550,-164
1551,-136
1552,-115
1553,-102
1554,-91
1555,-82
1556,-78
1557,-75
1558,-73
1559,-72
1560,-71
1561,-71
1562,-70
1563,-70
1564,-70
1565,-70
1566,-69
1567,-68
1568,-67
1569,-66
1570,-65
1571,-63
1572,-62
1573,-60
1574,-58
1575,-55
1576,-52
1577,-49
1578,-46
1579,-42
1580,-38
1581,-33
1582,-27
1583,-20
1584,-15
1585,-10
1586,-7
1587,-4
1588,-1
1589,0
1590,2
1591,4
1592,6
1593,8
1594,9
1595,11
1596,14
1597,17
1598,19
1599,21
1600,24
1601,28
1602,33
1603,42
1604,60
1605,76
1606,92
1607,108
1608,126
1609,141
1610,154
1611,164
1612,172
1613,176
1614,180
1615,184
1616,186
1617,188
1618,188
1619,188
1620,186
1621,183
1622,179
1623,173
1624,167
1625,161
1626,153
1627,139
1628,127
1629,115
1630,102
1631,86
1632,71
1633,56
1634,40
1635,26
1636,11
1637,-3
1638,-19
1639,-31
1640,-39
1641,-46
1642,-51
1643,-55
1644,-58
1645,-61
1646,-63
1647,-65
1648,-67
1649,-68
1650,-70
1651,-71
1652,-72
1653,-73
1654,-74
1655,-74
1656,-74
1657,-74
1658,-74
1659,-74
1660,-73
1661,-73
1662,-72
1663,-72
1664,-71
1665,-71
1666,-71
1667,-70
1668,-69
1669,-69
1670,-68
1671,-66
1672,-65
1673,-63
1674,-62
1675,-60
1676,-58
1677,-56
1678,-53
1679,-51
1680,-49
1681,-47
1682,-45
1683,-43
1684,-42
1685,-40
1686,-39
1687,-38
1688,-36
1689,-35
1690,-34
1691,-33
1692,-32
1693,-32
1694,-31
1695,-31
1696,-30
1697,-30
1698,-30
1699,-29
1700,-29
1701,-28
1702,-27
1703,-25
1704,-23
1705,-22
1706,-20
1707,-18
1708,-16
1709,-14
1710,-12
1711,-10
1712,-9
1713,-7
1714,-6
1715,-6
1716,-5
1717,-5
1718,-5
1719,-6
1720,-6
1721,-7
1722,-8
1723,-9
1724,-10
1725,-11
1726,-12
1727,-13
1728,-13
1729,-14
1730,-15
1731,-16
1732,-16
1733,-17
1734,-17
1735,-17
1736,-17
1737,-17
1738,-18
1739,-18
1740,-18
1741,-18
1742,-18
1743,-17
1744,-17
1745,-17
1746,-17
1747,-16
1748,-16
1749,-15
1750,-15
1751,-14
1752,-13
1753,-12
1754,-12
1755,-11
1756,-10
1757,-9
1758,-9
1759,-8
1760,-7
1761,-6
1762,-5
1763,-5
1764,-4
1765,-3
1766,-2
1767,0
1768,0
1769,1
1770,3
1771,5
1772,7
1773,10
1774,12
1775,16
1776,19
1777,23
1778,28
1779,33
1780,42
1781,50
1782,57
1783,62
1784,66
1785,69
1786,72
1787,74
1788,76
1789,78
1790,80
1791,80
1792,81
1793,81
1794,80
1795,78
1796,75
1797,71
1798,66
1799,62
1800,57
1801,52
1802,47
1803,41
1804,34
1805,27
1806,22
1807,17
1808,13
1809,10
1810,7
1811,5
1812,3
1813,1
1814,0
1815,-2
1816,-4
1817,-5
1818,-7
1819,-8
1820,-9
1821,-10
1822,-12
1823,-12
1824,-12
1825,-12
1826,-12
1827,-11
1828,-10
1829,-6
1830,13
1831,62
1832,134
1833,234
1834,359
1835,504
1836,658
1837,804
1838,920
1839,961
1840,951
1841,852
1842,666
1843,431
1844,189
1845,-18
1846,-166
1847,-227
1848,-248
1849,-234
1850,-211
1851,-183
1852,-160
1853,-142
1854,-124
1855,-114
1856,-109
1857,-104
1858,-101
1859,-98
1860,-95
1861,-93
1862,-90
1863,-88
1864,-86
1865,-85
1866,-83
1867,-82
1868,-81
1869,-80
1870,-80
1871,-79
1872,-79
1873,-79
1874,-78
1875,-78
1876,-78
1877,-78
1878,-77
1879,-77
1880,-77
1881,-76
1882,-76
1883,-75
1884,-74
1885,-73
1886,-72
1887,-70
1888,-68
1889,-66
1890,-63
1891,-60
1892,-57
1893,-53
1894,-49
1895,-41
1896,-33
1897,-25
1898,-20
1899,-15
1900,-11
1901,-8
1902,-6
1903,-3
1904,-1
1905,0
1906,2
1907,5
1908,7
1909,10
1910,13
1911,18
1912,24
1913,35
1914,45
1915,56
1916,66
1917,75
1918,83
1919,89
1920,95
1921,99
1922,102
1923,104
1924,107
1925,109
1926,110
1927,112
